provider,case_id,case_hash,expected,B_answer,B_correct,D_answer,D_correct,O_answer,O_correct,solved_by_both,T_condition,T_answer,T_correct,corrupted_final_label,label_dependence_case,derivation_dependence_case,transmission_survival_case,pure_transmission_loss_case,transmission_rescue_case,failure_family
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0020,028f0965f81224eb6f1dac19,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0006,05f26001a75318c7df40a854,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0008,07e63b0de76a8b80272d382d,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0000,11de64e986d4aacba3d39208,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final_no_active,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0022,1990a23b273e7ddb7f18bbb9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_text,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0016,1e2c3650537752ef360f9141,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0016,1e2c3650537752ef360f9141,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0016,1e2c3650537752ef360f9141,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0016,1e2c3650537752ef360f9141,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0029,2a94ed032a4c5835ec4bd31f,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0029,2a94ed032a4c5835ec4bd31f,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0029,2a94ed032a4c5835ec4bd31f,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0029,2a94ed032a4c5835ec4bd31f,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0026,31c8e5e4e6781925f24dc3c5,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0026,31c8e5e4e6781925f24dc3c5,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0026,31c8e5e4e6781925f24dc3c5,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0026,31c8e5e4e6781925f24dc3c5,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0009,3d03fa6e05c41d97f2da962e,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0009,3d03fa6e05c41d97f2da962e,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0009,3d03fa6e05c41d97f2da962e,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0009,3d03fa6e05c41d97f2da962e,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0015,4add57c27574231d9ae49604,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0015,4add57c27574231d9ae49604,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0015,4add57c27574231d9ae49604,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0015,4add57c27574231d9ae49604,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0007,52f2ae2c74ae57a88f330b6c,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0007,52f2ae2c74ae57a88f330b6c,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0007,52f2ae2c74ae57a88f330b6c,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0007,52f2ae2c74ae57a88f330b6c,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0021,584d03a1d90c535aa8e41271,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0021,584d03a1d90c535aa8e41271,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0021,584d03a1d90c535aa8e41271,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0021,584d03a1d90c535aa8e41271,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0027,59915d2bf18e5051db5b9365,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0027,59915d2bf18e5051db5b9365,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0027,59915d2bf18e5051db5b9365,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final_no_active,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0027,59915d2bf18e5051db5b9365,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_text,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0025,5fedca429a7ecda9618b5d87,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0025,5fedca429a7ecda9618b5d87,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0025,5fedca429a7ecda9618b5d87,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0025,5fedca429a7ecda9618b5d87,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0011,603c7f2f3c7972757fadc2ed,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0011,603c7f2f3c7972757fadc2ed,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0011,603c7f2f3c7972757fadc2ed,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final_no_active,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0011,603c7f2f3c7972757fadc2ed,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_text,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final_no_active,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0002,7baf2bdfa9dbc57af7da63f9,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_text,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0012,8394cdb54ce1c21f2d39224a,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0012,8394cdb54ce1c21f2d39224a,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0012,8394cdb54ce1c21f2d39224a,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0012,8394cdb54ce1c21f2d39224a,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0028,883ea396dffc3e77834bf0d1,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0028,883ea396dffc3e77834bf0d1,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0028,883ea396dffc3e77834bf0d1,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0028,883ea396dffc3e77834bf0d1,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0013,909d995e1e3e0f2a8a6d1f36,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0010,a00c4cc4b2f16fa073dd0ce3,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0019,b890edf92c27501650395521,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0019,b890edf92c27501650395521,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0019,b890edf92c27501650395521,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0019,b890edf92c27501650395521,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0014,bad5237bb0566ca605be093c,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0014,bad5237bb0566ca605be093c,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0014,bad5237bb0566ca605be093c,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0014,bad5237bb0566ca605be093c,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0017,c2f7c38f1cd431cffd370b00,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0017,c2f7c38f1cd431cffd370b00,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0017,c2f7c38f1cd431cffd370b00,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0017,c2f7c38f1cd431cffd370b00,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0024,c5f62b0ad28a8b40107fdb3d,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0024,c5f62b0ad28a8b40107fdb3d,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0024,c5f62b0ad28a8b40107fdb3d,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0024,c5f62b0ad28a8b40107fdb3d,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0001,d84520815f9990935422728b,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0001,d84520815f9990935422728b,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0001,d84520815f9990935422728b,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0001,d84520815f9990935422728b,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0003,d8c4c99b4855b3782c3af854,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0003,d8c4c99b4855b3782c3af854,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0003,d8c4c99b4855b3782c3af854,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final_no_active,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0003,d8c4c99b4855b3782c3af854,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_text,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0018,d93abd727cc1b90ee88a845a,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_corrupt_final,conflict,True,yes,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0018,d93abd727cc1b90ee88a845a,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0018,d93abd727cc1b90ee88a845a,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_no_final_no_active,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0018,d93abd727cc1b90ee88a845a,conflict,yes,False,conflict,True,conflict,True,True,T_oracle_text,conflict,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0023,d980032889101401f8cd9414,yes,yes,True,yes,True,yes,True,True,T_oracle_corrupt_final,yes,True,no,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0023,d980032889101401f8cd9414,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0023,d980032889101401f8cd9414,yes,yes,True,yes,True,yes,True,True,T_oracle_no_final_no_active,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0023,d980032889101401f8cd9414,yes,yes,True,yes,True,yes,True,True,T_oracle_text,yes,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0005,e907207d98f3f48ba2e2edb4,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0005,e907207d98f3f48ba2e2edb4,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0005,e907207d98f3f48ba2e2edb4,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0005,e907207d98f3f48ba2e2edb4,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0004,f1f456a8a8ff9acccb59819d,no,yes,False,no,True,no,True,True,T_oracle_corrupt_final,no,True,conflict,False,True,True,False,False,
anthropic_sonnet_4_6,rule_0004,f1f456a8a8ff9acccb59819d,no,yes,False,no,True,no,True,True,T_oracle_no_final,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0004,f1f456a8a8ff9acccb59819d,no,yes,False,no,True,no,True,True,T_oracle_no_final_no_active,no,True,,False,False,True,False,False,
anthropic_sonnet_4_6,rule_0004,f1f456a8a8ff9acccb59819d,no,yes,False,no,True,no,True,True,T_oracle_text,no,True,,False,False,True,False,False,
